"interaction_type","Total_Interactions","Mean_TTC_Seconds","SD_TTC","Mean_Relative_Speed","SD_Relative_Speed","Mean_Distance_Meters"
"Car-Car (Baseline)",91,0.39,0.4,5.34,1.61,12.82
"Motorcycle-Car (Treatment)",91,0.25,0.27,5.8,1.76,13.13
